tech_filename,tech_timestamp_chargement,objectid_pf_pb,objectid_pt_pb,nb_fibres_connectees_hs,nb_fibres_connectees_utilisees,nb_fibres_connectees_libres,nb_fibres_non_connectees_hs,nb_fibres_non_connectees_utilisees,nb_fibres_non_connectees_libres
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15963E+18,9.15647E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14468E+18,9.14468E+18,0,0,0,0,4,2
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1403E+18,9.1403E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15879E+18,,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14496E+18,9.14492E+18,0,12,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15576E+18,9.15574E+18,0,0,0,1,7,4
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14405E+18,9.14405E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15146E+18,9.15146E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15554E+18,9.15571E+18,0,3,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14638E+18,9.14638E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14811E+18,9.14679E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1633E+18,9.1633E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1603E+18,9.1603E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.16533E+18,9.16532E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.16665E+18,9.16559E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.16423E+18,9.16423E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14493E+18,9.14493E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15555E+18,9.15508E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15596E+18,9.15596E+18,0,0,0,0,0,0
