"CODE INTERVENTION","No DESIGNATION","No INTERVENTION","COMMENTAIRE DE SIG","CENTRE","ZONE","REFINT","ETATPIDICOMP","DTPASSPIDICOMP","HEUREPASSPIDICOMP","DTETATPIDICOMP","HEURETATPIDICOMP","DTPREMPLG","HRPREMPLG","FTTH_IMM_OP","FTTH_TYPE_RAC","FTTH_TYPE_SITE","FTTH_ADDUCTABILITE","LIBMATFTTH","REMMATFTTH","REFOCEANE","DISPOSITIF_SPX"
"IQPFTH","296942764","22815511","","HAR","0","47238029","TA\TC\TR","04/05/2023\09/05/2023\10/05/2023","08:11\18:34\14:06","04/05/2023\09/05/2023\10/05/2023","08:11\18:34\14:06","5/10/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","299348859","22770830","","MDB","5","47016069","TA","4/20/2023","8:11","4/20/2023","8:11","5/25/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison a domicile\Deja detenu","",""
"IQPFTH","299003828","22796744","","CGN","51","47144124","TA","4/25/2023","18:51","4/25/2023","18:51","5/15/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison a domicile\Deja detenu","",""
"IQCFTH","297783490","22842221","","LTL","51","47372674","","","","","","5/22/2023","15:00","","","","","","","",""
"IQPFTH","298935064","22819338","","KOF","0","47255106","TA","5/5/2023","8:14","5/5/2023","8:14","5/25/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Deja detenu","",""
"IQPFTH","297402896","22836089","","CPO","0","47340480","TA","5/12/2023","15:46","5/12/2023","15:46","5/26/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Livraison a domicile","",""
"IQPFTH","298937021","22758251","","KOF","0","46956316","TA\TC\TR","15/04/2023\02/05/2023\03/05/2023","08:08\17:05\16:27","15/04/2023\02/05/2023\03/05/2023","08:08\17:05\16:27","5/3/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:second Decodeur TV UHD\DECODEUR_1:Decodeur Livebox Play TV","Deja detenu\Deja detenu","",""
"IQPFTH","299595348","22752914","","ROE","4","46094080","TA\TC\TR\TR\TR","05/04/2023\13/04/2023\15/04/2023\15/04/2023\10/05/2023","09:51\18:31\09:21\14:48\18:30","05/04/2023\13/04/2023\15/04/2023\15/04/2023\10/05/2023","09:51\18:31\09:21\14:48\18:30","4/14/2023","13:00","FT","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Deja detenu","",""
"IQPFTH","297786105","22810546","","BRD","10","47212428","TA","5/6/2023","12:59","5/6/2023","12:59","6/2/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:second Decodeur TV UHD\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Livraison en point relais\Deja detenu","",""
"IQPFTH","297019609","22831640","","GCP","2","47314878","TA","5/10/2023","8:12","5/10/2023","8:12","5/25/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Remis au client\Remis au client","",""
